City	City coordinate location	City GeoNames ID	City QID	County	GeoNames ID	County QID
Ripon	37.740555555556,-121.12833333333	5387749	Q986098	San Joaquin County	5392126	Q108499
Riverside	33.98222222222222,-117.3725	5387877	Q49243	Riverside County	5387890	Q108111
Rocklin	38.8,-121.24666666667	5388319	Q984599	Placer County	5383537	Q156353
Rohnert Park	38.347222222222,-122.69527777778	5388564	Q986835	Sonoma County	5397100	Q108067
Roseville	38.7525,-121.28944444444	5388881	Q491340	Placer County	5383537	Q156353
Ross	37.9625,-122.555	5388907	Q2747056	Marin County	5370468	Q108117
Sacramento	38.575277777778,-121.48611111111	5389489	Q18013	Sacramento County	5389519	Q108131
Saint Helena	38.502777777778,-122.46972222222	5390267	Q125733	Napa County	5376101	Q108137
San Andreas	38.196111111111,-120.68055555556	5391597	Q2371380	Calaveras County	5332628	Q271613
San Bernardino	34.129444444444,-117.29305555556	5391710	Q486168	San Bernardino County	5391726	Q108053
San Bruno	37.625277777778,-122.42527777778	5391749	Q667738	San Mateo County	5392427	Q108101
Sand City	36.617222222222,-121.84833333333	5392729	Q2262091	Monterey County	5374376	Q108072
San Diego	32.715,-117.1625	5391811	Q16552	San Diego County	5391832	Q108143
San Fernando	34.287222222222,-118.43888888889	5391945	Q846406	Los Angeles County	5368381	Q104994
San Francisco	37.7775,-122.41638888888889	5391959	Q62	San Francisco County	5391997	Q13188841
San Gabriel	34.15,-118.18194444444	5392034	Q953437	Los Angeles County	5368381	Q104994
Sanger	36.708055555556,-119.55583333333	5392868	Q174427	Fresno County	5350964	Q271915
San Jose	37.304166666667,-121.87277777778	5392171	Q16553	Santa Clara County	5393021	Q110739
San Leandro	37.725,-122.15611111111	5392263	Q851034	Alameda County	5322745	Q107146
San Luis Obispo	35.274166666667,-120.66305555556	5392323	Q49012	San Luis Obispo County	5392329	Q49014
San Marcos	33.141944444444,-117.17027777778	5392368	Q506411	San Diego County	5391832	Q108143
San Marino	34.122777777778,-118.11305555556	5392400	Q850869	Los Angeles County	5368381	Q104994
San Mateo	37.554166666667,-122.31305555556	5392423	Q169943	San Mateo County	5392427	Q108101
San Pablo	37.962222222222,-122.34555555556	5392508	Q983863	Contra Costa County	5339268	Q108058
San Rafael	37.973611111111,-122.53111111111	5392567	Q631915	Marin County	5370468	Q108117
San Ramon	37.78,-121.97805555556	5392593	Q605472	Contra Costa County	5339268	Q108058
Santa Ana	33.740833333333,-117.88138888889	5392900	Q49244	Orange County	5379524	Q5925
Santa Barbara	34.425833333333,-119.71416666667	5392952	Q159288	Santa Barbara County	5392967	Q108106
Santa Clara	37.35,-121.96666666667	5393015	Q159260	Santa Clara County	5393021	Q110739
Santa Cruz	36.97205,-122.026252	5393052	Q159232	Santa Cruz County	5393068	Q108122
Santa Fe Springs	33.9375,-118.06722222222	5393128	Q948045	Los Angeles County	5368381	Q104994
Santa Maria	34.951388888889,-120.43333333333	5393180	Q643953	Santa Barbara County	5392967	Q108106
Santa Monica	34.021944444444,-118.48138888889	5393212	Q47164	Los Angeles County	5368381	Q104994
Santa Paula	34.355833333333,-119.06833333333	5393245	Q985348	Ventura County	5405889	Q108127
Santa Rosa	38.448611111111,-122.70472222222	5393287	Q212991	Sonoma County	5397100	Q108067
Saratoga	37.2725,-122.01944444444	5393485	Q927163	Santa Clara County	5393021	Q110739
Sausalito	37.857777777778,-122.49027777778	5393611	Q828729	Marin County	5370468	Q108117
Scotts Valley	37.051388888889,-122.01333333333	5393971	Q598266	Santa Cruz County	5393068	Q108122
Seal Beach	33.759166666667,-118.0825	5394086	Q593039	Orange County	5379524	Q5925
Seaside	36.611111111111,-121.84472222222	5394136	Q986900	Monterey County	5374376	Q108072
Sebastopol	38.399166666667,-122.82694444444	5394165	Q985264	Sonoma County	5397100	Q108067
Selma	36.570833333333,-119.61194444444	5394329	Q983593	Fresno County	5350964	Q271915
Shafter	35.500555555556,-119.27166666667	5394842	Q985258	Kern County	5362932	Q108047
Sierra Madre	34.164722222222,-118.05083333333	5395622	Q174026	Los Angeles County	5368381	Q104994
Signal Hill	33.79935,-118.16558	5395754	Q985349	Los Angeles County	5368381	Q104994
Simi Valley	34.270833,-118.739167	5396003	Q323414	Ventura County	5405889	Q108127
Soledad	36.424722222222,-121.32638888889	5397018	Q985256	Monterey County	5374376	Q108072
