City	City coordinate location	City GeoNames ID	City QID	County	GeoNames ID	County QID
Jackson	38.348888888889,-120.77416666667	5360160	Q1966879	Amador County	5323622	Q156177
Kensington	37.910555555556,-122.28027777778	5362849	Q3296036	Contra Costa County	5339268	Q108058
Kentfield	37.95139,-122.54694	5362864	Q2450147	Marin County	5370468	Q108117
Kerman	36.723611111111,-120.06	5362909	Q984605	Fresno County	5350964	Q271915
King City	36.212777777778,-121.12611111111	5363208	Q862700	Monterey County	5374376	Q108072
Kingsburg	36.518333333333,-119.55333333333	5363429	Q779614	Fresno County	5350964	Q271915
Laguna Beach	33.533333333333,-117.76666666667	5364275	Q1908566	Orange County	5379524	Q5925
La Habra	33.931944444444,-117.94611111111	5363922	Q948071	Orange County	5379524	Q5925
Lakeport	39.043055555556,-122.91583333333	5364753	Q1960647	Lake County	5364466	Q156361
La Mesa	32.771388888889,-117.02277777778	5363990	Q850929	San Diego County	5391832	Q108143
La Palma	33.849444444444,-118.04388888889	5364022	Q595175	Orange County	5379524	Q5925
Larkspur	37.934166666667,-122.53527777778	5365113	Q984595	Marin County	5370468	Q108117
La Verne	34.114444444444,-117.77138888889	5364134	Q985347	Los Angeles County	5368381	Q104994
Lemoore	36.303888888889,-119.78638888889	5365918	Q986940	Kings County	5363385	Q156358
Lincoln	38.887222222222,-121.29611111111	5366375	Q966492	Placer County	5383537	Q156353
Lindsay	36.2,-119.08333333333	5366604	Q984167	Tulare County	5403789	Q109686
Livermore	37.685555555556,-121.76416666667	5367440	Q138901	Alameda County	5322745	Q107146
Livingston	37.386944444444,-120.72361111111	5367427	Q986871	Merced County	5372259	Q109690
Lodi	38.128888888889,-121.28083333333	5367565	Q852647	San Joaquin County	5392126	Q108499
Lompoc	34.646111111111,-120.46027777778	5367788	Q852704	Santa Barbara County	5392967	Q108106
Long Beach	33.768321,-118.1956168	5367929	Q16739	Los Angeles County	5368381	Q104994
Los Alamitos	33.802222222222,-118.06444444444	5368304	Q948059	Orange County	5379524	Q5925
Los Altos	37.3681,-122.098	5368335	Q864124	Santa Clara County	5393021	Q110739
Los Angeles	34.05223,-118.24368	5368361	Q65	Los Angeles County	5368381	Q104994
Los Banos	37.058333333333,-120.85	5368453	Q590932	Merced County	5372259	Q109690
Los Gatos	37.236111111111,-121.96166666667	5368518	Q747509	Santa Clara County	5393021	Q110739
Madera	36.961388888889,-120.06083333333	5369568	Q851000	Madera County	5369578	Q109661
Mammoth Lakes	37.648611111111,-118.97194444444	5370006	Q983604	Mono County	5374091	Q156366
Manhattan Beach	33.888888888889,-118.40527777778	5370082	Q568610	Los Angeles County	5368381	Q104994
Manteca	37.802777777778,-121.22083333333	5370164	Q986109	San Joaquin County	5392126	Q108499
Marina	36.684444444444,-121.80222222222	5370493	Q985077	Monterey County	5374376	Q108072
Markleeville	38.695,-119.78027777778	5370687	Q1019532	Alpine County	5323414	Q108077
Martinez	38.019444444444,-122.13416666667	5370868	Q506439	Contra Costa County	5339268	Q108058
Marysville	39.145833333333,-121.59138888889	5370984	Q950966	Yuba County	5411026	Q196014
McClellan Park	38.6622,-121.402	7315199	Q9385088	Sacramento County	5389519	Q108131
McFarland	35.678055555556,-119.22916666667	5371530	Q977395	Kern County	5362932	Q108047
